Ticker,F1_Score,MDD_Mercado_%,MDD_Agente_%,Riesgo_Reducido
AFTY,0.5,-0.47,0.0,Sí
AGZ,0.5,-0.79,-0.79,No
AIRR,0.3,-0.14,-0.14,Sí
ANGL,0.5,-0.46,-0.46,No
AOA,0.0,-0.44,-0.44,Sí
ARKG,0.6667,0.0,0.0,No
ASHX,1.0,0.0,0.0,No
ATMP,0.3333,-2.65,0.0,Sí
BAPR,0.7667,-0.31,-0.07,Sí
BBUS,0.3,-0.21,-0.04,Sí
BCD,0.5,-0.95,-0.68,Sí
BFOR,1.0,-0.68,0.0,Sí
BICK,0.5,-5.13,-5.13,No
BIV,0.3,-1.15,-1.15,Sí
BJAN,0.5,-0.21,-0.06,Sí
BJUL,0.5,-0.37,-0.31,Sí
BLCN,0.3,0.0,0.0,No
BLOK,0.0,-0.22,-0.22,Sí
BOCT,0.5,-0.28,-0.16,Sí
BOUT,0.6667,0.0,0.0,No
BSBE,0.3,0.0,0.0,No
BSCE,0.3,-0.13,-0.13,No
BSDE,0.3,-0.08,-0.08,No
BSJP,0.3,-0.23,-0.23,Sí
CALF,0.5,-0.42,0.0,Sí
CAPD,0.1,-0.19,0.0,Sí
CBON,0.5,-0.09,-0.09,Sí
CCOR,1.0,-1.22,0.0,Sí
CDC,0.3333,-0.52,0.0,Sí
CDL,0.2,-0.55,-0.12,Sí
CEFS,0.1,-0.04,0.0,Sí
CEMB,0.5,-0.75,-0.75,Sí
CEW,0.0,-0.24,-0.24,No
CGW,0.5,-1.43,-1.43,Sí
CHIE,0.5,-1.25,-0.56,Sí
CHIK,0.3333,-0.21,0.0,Sí
CHIM,0.5,0.0,0.0,No
CHIQ,0.7333,-3.06,0.0,Sí
CHIS,0.5,-1.65,0.0,Sí
CMBS,0.3,-1.52,-1.52,Sí
CNRG,0.1,0.0,0.0,No
CNXT,0.7333,-0.03,0.0,Sí
CNYA,0.3,0.0,0.0,No
COWZ,0.5,-0.5,-0.5,Sí
CSA,0.5,-0.4,0.0,Sí
CSB,0.5,-1.24,-0.47,Sí
CSF,0.5,-0.09,-0.02,Sí
CSM,0.2,-0.43,-0.43,No
CWB,0.0,0.0,0.0,No
DALI,0.5,-0.48,-0.48,Sí
DBAW,0.8571,0.0,0.0,No
DBC,0.3,-1.43,-1.43,No
DBEF,0.7667,-0.05,0.0,Sí
DBEM,0.3,0.0,0.0,No
DBEU,0.3,-0.12,-0.12,No
DBEZ,0.3,-0.22,-0.22,Sí
DBJP,0.7667,-0.91,0.0,Sí
DDLS,0.5,-0.21,-0.09,Sí
DDWM,0.5,-0.14,-0.14,No
DFE,0.2,-1.35,-0.99,Sí
DFND,0.3,-8.01,-8.01,Sí
DGRO,0.7667,-0.18,0.0,Sí
DGRW,0.5,-0.25,-0.08,Sí
DGS,0.8571,0.0,0.0,No
DGT,0.7667,-0.24,0.0,Sí
DIA,0.6429,-0.24,-0.24,Sí
DIVB,0.5,-0.23,0.0,Sí
DIVO,0.7667,-0.4,0.0,Sí
DLN,0.5,-0.63,0.0,Sí
DRSK,0.0,-0.86,-0.86,Sí
